SiteCode,DateTime,PM25Raw
carriage,2015-02-17 11:03:00,9
carriage,2015-02-17 11:04:00,10
carriage,2015-02-17 11:05:00,11
carriage,2015-02-17 11:06:00,10
carriage,2015-02-17 11:07:00,12
carriage,2015-02-17 11:08:00,10
carriage,2015-02-17 11:09:00,12
carriage,2015-02-17 11:10:00,11
carriage,2015-02-17 11:11:00,10
carriage,2015-02-17 11:12:00,14
carriage,2015-02-17 11:13:00,10
carriage,2015-02-17 11:14:00,12
carriage,2015-02-17 11:15:00,13
carriage,2015-02-17 11:16:00,13
carriage,2015-02-17 11:17:00,11
carriage,2015-02-17 11:18:00,11
carriage,2015-02-17 11:19:00,16
carriage,2015-02-17 11:20:00,18
carriage,2015-02-17 11:21:00,39
carriage,2015-02-17 11:22:00,54
carriage,2015-02-17 11:23:00,69
carriage,2015-02-17 11:24:00,98
carriage,2015-02-17 11:25:00,118
carriage,2015-02-17 11:26:00,138
carriage,2015-02-17 11:27:00,135
carriage,2015-02-17 11:28:00,137
carriage,2015-02-17 11:29:00,159
carriage,2015-02-17 11:30:00,168
carriage,2015-02-17 11:31:00,169
carriage,2015-02-17 11:32:00,158
carriage,2015-02-17 11:33:00,156
