"line","start_x","start_y","end_x","end_y","pm25","start_station","end_station"
"Docklands Light Railway",542301.772492544,180287.216013281,543270.795940003,180132.03444224,25.0841666666667,"London City Airport","King George V"
"Docklands Light Railway",543270.795940003,180132.03444224,543740.245424279,178812.933783504,26.0841666666667,"King George V","Woolwich Arsenal"
"Docklands Light Railway",543302,180892,542702,180892,10.0841666666667,"Cyprus","Beckton Park"
"Docklands Light Railway",543302,180892,543902,180992,6.08416666666667,"Cyprus","Gallions Reach"
"Docklands Light Railway",543902,180992,543102,181592,8.75083333333335,"Gallions Reach","Beckton"
"Hammersmith & City",523198,180005,523332.531220599,180480.267469195,4.55120370422222,"Shepherd's Bush Market","Wood Lane"
"Hammersmith & City",523504,178567,523177,179603,6.68083333316667,"Hammersmith","Goldhawk Road"
"Hammersmith & City",523768,180907,523332.531220599,180480.267469195,14.18083334,"Latimer Road","Wood Lane"
"Hammersmith & City",523768,180907,524238,181324,4.180833334,"Latimer Road","Ladbroke Grove"
"Hammersmith & City",525803,181566,524920,181756,17.51416667,"Royal Oak","Westbourne Park"
"Hammersmith & City",526704,181176,525803,181566,22.514166663,"Paddington","Royal Oak"
"Hammersmith & City",527227,181702,526704,181176,36.680833335,"Edgware Road Circle","Paddington"
"Hammersmith & City",527227,181702,527965,182070,62.514166663,"Edgware Road Circle","Baker Street"
"Hammersmith & City",527965,182070,528862,182166,68.180833328,"Baker Street","Great Portland Street"
"Hammersmith & City",529420,182385,530237,182944,77.51416666,"Euston Square","King's Cross St. Pancras"
"Hammersmith & City",531569,181871,530237,182944,76.4030555533333,"Farringdon","King's Cross St. Pancras"
"Hammersmith & City",531569,181871,532080,181851,54.18083334,"Farringdon","Barbican"
"Hammersmith & City",532080,181851,532689,181669,45.8475,"Barbican","Moorgate"
"Hammersmith & City",532689,181669,533111,181567,42.51416667,"Moorgate","Liverpool Street"
"Hammersmith & City",533111,181567,533858,181351,60.01416667,"Liverpool Street","Aldgate East"
"Hammersmith & City",534699,181843,533858,181351,64.18083334,"Whitechapel","Aldgate East"
"Hammersmith & City",535630,182141,534699,181843,82.51416666,"Stepney Green","Whitechapel"
"Hammersmith & City",536526,182519,535630,182141,99.18083333,"Mile End","Stepney Green"
"Hammersmith & City",537117,182725,536526,182519,10.8475,"Bow Road","Mile End"
"Hammersmith & City",537117,182725,538036,182524,65.847499997,"Bow Road","Bromley-by-Bow"
"Hammersmith & City",539184,182935,538036,182524,30.847499997,"West Ham","Bromley-by-Bow"
"Hammersmith & City",539184,182935,540060,183297,17.514166663,"West Ham","Plaistow"
"Hammersmith & City",541259,183777,540060,183297,12.514166667,"Upton Park","Plaistow"
"Hammersmith & City",542371,184219,541259,183777,7.514166666,"East Ham","Upton Park"
"Hammersmith & City",542371,184219,544407,184335,6.95861111066667,"East Ham","Barking"
"Jubilee",517574,192563,518190,191258,5.52,"Stanmore","Canons Park"
"Jubilee",518839,189781,518190,191258,7.12694444444443,"Queensbury","Canons Park"
"Jubilee",519348,188725,518839,189781,13.8602777777778,"Kingsbury","Queensbury"
