line,station,pm25,particle_number,black_carbon,x,y,z
District,Acton Town,18.00,9999.00,0.75,-0.280257232470773,51.5027466035886,-5.50
Docklands Light Railway,Star Lane,15.30,5759.50,1.30,0.00420001257133685,51.5206999954011,-90.00
Piccadilly,"Heathrow Terminals 1, 2, 3",203.40,20660.00,28.30,-0.452438388581474,51.4712171445977,
Hammersmith & City,Bow Road,8.18,8725.00,50.00,-0.0248170276393772,51.5267976887795,-5.20
Victoria,Victoria,196.80,13778.67,33.73,-0.143851961630273,51.4963417077889,-19.43
Metropolitan,Wembley Park,118.80,7702.00,3.40,-0.279244880959252,51.56325910078,-4.30
Jubilee,London Bridge,304.65,16369.50,51.43,-0.0869220539865052,51.5054985036613,-27.20
District,East Ham,16.20,10827.00,1.85,0.0514729692639395,51.5389232811866,-5.30
Piccadilly,Caledonian Road,315.00,13831.00,49.70,-0.118309745010209,51.5484239880043,-23.07
Metropolitan,Great Portland Street,182.70,12832.50,17.95,-0.143949899367863,51.5237164494369,-7.60
Northern,West Finchley,47.98,10283.33,10.38,-0.188474759297438,51.6094894047836,-0.70
Northern,Colliers Wood,262.80,18486.50,41.90,-0.177701297975219,51.4180709289879,-13.08
Circle,Farringdon,81.90,9542.50,8.10,-0.105063421916659,51.5204418869312,-4.50
Jubilee,West Hampstead,40.50,6713.25,5.90,-0.190753253727827,51.5467039209498,-5.50
Docklands Light Railway,Devons Road,15.30,6215.00,0.95,-0.0172185851277706,51.5221731703687,-90.00
Metropolitan,Finchley Road,97.20,6151.00,3.30,-0.180498776822596,51.5470668978078,-3.30
Northern,Highgate,136.10,17590.00,79.25,-0.146633760986391,51.5775966712725,-37.33
Metropolitan,Rickmansworth,87.30,6145.50,2.60,-0.473715230305958,51.6402686977466,-0.40
Victoria,Brixton,537.30,11084.50,22.30,-0.114630284533198,51.4625850090398,-19.21
Jubilee,Stanmore,17.10,6246.50,1.15,-0.303101256883693,51.619619034949,-8.20
Metropolitan,Moor Park,114.75,6843.75,2.65,-0.432659835499849,51.6297287646633,4.50
Central,Oxford Circus,461.70,28538.50,71.60,-0.141762698422423,51.5151209635395,-26.40
Jubilee,Kingsbury,31.50,11219.50,2.80,-0.278793860265427,51.5847530006827,-4.70
Northern,Leicester Square,205.90,24945.00,147.03,-0.128230649446712,51.5112188594741,-26.50
Bakerloo,Baker Street,343.80,14951.00,112.80,-0.156907053899173,51.5230574802078,-20.30
Piccadilly,Finsbury Park,356.40,14581.50,51.15,-0.10651152685474,51.5644026558174,-8.08
Jubilee,North Greenwich,165.60,12901.50,23.70,0.00361194290104286,51.5001827895943,-15.54
Docklands Light Railway,Shadwell,31.05,7798.50,6.03,-0.0569078225797117,51.5112279441297,-90.00
Central,Leytonstone,87.30,6654.00,12.85,0.00821665750913592,51.5681874186394,-0.10
Circle,Barbican,43.20,9081.50,6.30,-0.0977101273045501,51.5201430089772,-8.60
District,West Ham,38.70,9829.50,2.65,0.00504272454821985,51.5281795214174,3.70
Piccadilly,Turnham Green,336.60,10975.00,8.45,-0.254527268833221,51.4951096369166,5.90
Circle,Aldgate,71.10,12313.50,12.20,-0.0756154977289451,51.514270138507,-7.20
Piccadilly,Hounslow Central,237.60,12196.00,8.75,-0.366917151453505,51.47108241548,4.90
District,Becontree,17.10,11297.00,1.45,0.127403336769776,51.5402865747027,-4.90
Docklands Light Railway,Mudchute,21.60,5608.50,4.10,-0.0150841328267217,51.490365984124,-90.00
Jubilee,Finchley Road,96.75,8083.25,10.68,-0.180498776822596,51.5470668978078,-3.30
Central,Newbury Park,82.80,7042.50,11.55,0.0903435756638238,51.5755748463425,-2.00
Bakerloo,North Wembley,90.90,13820.50,31.10,-0.304161121584576,51.5624888051957,-6.00
District,Upminster,13.50,9884.00,3.25,0.25108951689696,51.5588866617889,-8.80
Metropolitan,Chorleywood,97.20,5404.50,2.95,-0.518364234422603,51.6542205131099,-0.70
Bakerloo,Willesden Junction,70.20,9044.00,21.20,-0.244285475118307,51.5321942467396,-5.50
Northern,Stockwell,349.20,27827.50,55.35,-0.122903451253838,51.4721689736,-13.69
Metropolitan,Chalfont & Latimer,100.80,5307.25,2.88,-0.560528901547765,51.668025856675,-1.30
Circle,Latimer Road,9.00,7841.50,1.75,-0.217778582282912,51.5135399564754,6.00
Metropolitan,Northwick Park,108.00,6066.00,3.20,-0.318210782867392,51.5785892720429,1.90
Hammersmith & City,Plaistow,3.16,4412.00,10.80,0.0178063193212912,51.5312159926194,-6.60
Bakerloo,Kilburn Park,248.40,12947.00,71.45,-0.193968502985067,51.5350723216323,-7.48
Piccadilly,Arnos Grove,262.08,6725.50,10.16,-0.133514380686144,51.6163438112385,-5.40
Victoria,Pimlico,343.80,11391.50,39.65,-0.133742255726892,51.4891940528728,-21.09
Northern,Angel,174.60,15919.00,43.00,-0.105788490675655,51.5324945942359,-35.65
District,Temple,143.10,9999.00,24.40,-0.113699873564125,51.5109680760824,-5.80
Piccadilly,Earl's Court,470.70,16421.50,53.10,-0.193547041993353,51.49180317265,-20.62
Piccadilly,Wood Green,512.10,13571.50,51.05,-0.109626804030509,51.5974731596116,-11.41
Docklands Light Railway,King George V,36.90,6859.00,4.75,0.0627780125854403,51.5019719953869,-90.00
District,Bromley-by-Bow,69.30,9941.50,15.55,-0.0116566534856929,51.5247678154368,-2.80
Bakerloo,Kenton,76.50,7227.00,22.85,-0.317169082647047,51.5817845621294,-6.60
Circle,South Kensington,39.60,8423.00,5.45,-0.173925852542494,51.4939991963803,-7.03
