nlc_code,station_name,station_borough,note,weekday_entry,weekday_entry_weight,saturday_entry,saturday_entry_weight,sunday_entry,sunday_entry_weight,weekday_exit,weekday_exit_weight,saturday_exit,satirday_exit_weight,sunday_exit,sunday_exit_weight,line_if_present
730,Totteridge & Whetstone,Barnet,,3990,253,2403,52,1520,59,3634,253,2075,52,1408,59,
731,Tower Hill,Tower Hamlets,,32210,253,28833,52,22060,59,33821,253,28906,52,19778,59,
733,Tufnell Park,Islington,station closed,0,253,0,52,0,59,0,253,0,52,0,59,
734,Turnham Green,Hounslow,,10146,253,7216,52,4838,59,10106,253,7099,52,4955,59,
735,Turnpike Lane,Haringey,,15937,253,14127,52,10236,59,16396,253,12961,52,10128,59,
736,Upminster,Havering,,8280,253,5296,52,2348,59,8887,253,4640,52,2410,59,
737,Upminster Bridge,Havering,,2109,253,693,52,245,59,2047,253,577,52,251,59,
738,Upney,Barking and Dagenham,,4766,253,2640,52,1472,59,4197,253,2218,52,1316,59,
739,Upton Park,Newham,,17808,253,14352,52,9745,59,16895,253,15139,52,8903,59,
740,Uxbridge,Hillingdon,,13705,253,8365,52,5200,59,13490,253,7708,52,5400,59,
777,Vauxhall,Lambeth,,43911,253,29420,52,22127,59,40403,253,26740,52,21656,59,
741,Victoria,City of Westminster,,123265,253,97694,52,77548,59,128474,253,95438,52,77583,59,
742,Walthamstow Central,Waltham Forest,,28757,253,21766,52,14843,59,27799,253,21069,52,15623,59,
743,Wanstead,Redbridge,,4635,253,3375,52,2189,59,4520,253,3056,52,2098,59,
745,Warren Street,Camden,,35076,253,14034,52,9702,59,33848,253,12980,52,8516,59,
746,Warwick Avenue,City of Westminster,,7327,253,5268,52,3751,59,6647,253,4748,52,3801,59,
747,Waterloo,Lambeth,Figures include all passengers on the W&C line (which is closed on Sundays),147259,253,103277,52,61006,59,158084,253,100706,52,62375,59,
748,Watford,Watford,,3166,253,1584,52,1073,59,2982,253,1571,52,1068,59,
751,Wembley Central,Brent,,8683,253,7027,52,4390,59,9230,253,7237,52,4358,59,
752,Wembley Park,Brent,,21679,253,19165,52,14310,59,21632,253,17812,52,13861,59,
753,West Acton,Ealing,,2769,253,2086,52,1427,59,2632,253,1885,52,1351,59,
755,West Brompton,Kensington and Chelsea,,8318,253,4631,52,2862,59,8845,253,4787,52,2841,59,
756,West Finchley,Barnet,,2742,253,1620,52,994,59,2563,253,1369,52,978,59,
757,West Ham,Newham,,5947,253,5261,52,3561,59,5426,253,4883,52,3383,59,
758,West Hampstead,Camden,,18346,253,12544,52,8869,59,16896,253,11064,52,8356,59,
759,West Harrow,Harrow,,2189,253,1283,52,795,59,2133,253,1404,52,840,59,
760,West Kensington,Hammersmith and Fulham,,8456,253,6631,52,4560,59,8047,253,5555,52,4128,59,
762,West Ruislip,Hillingdon,,2523,253,2040,52,1101,59,2394,253,1749,52,994,59,
754,Westbourne Park,City of Westminster,,6864,253,4419,52,2643,59,5407,253,3372,52,2192,59,
761,Westminster,City of Westminster,,37844,253,34976,52,26895,59,37388,253,33175,52,24578,59,
764,White City,Hammersmith and Fulham,,12436,253,6965,52,4398,59,13176,253,6684,52,4328,59,
763,Whitechapel,Tower Hamlets,,19379,253,11758,52,6803,59,19021,253,11181,52,6660,59,
765,Willesden Green,Brent,,14170,253,11212,52,8107,59,13241,253,9696,52,7801,59,
766,Willesden Junction,Brent,previous years counts adjusted by average change between years by zone,7419,253,5191,52,2908,59,7346,253,4709,52,2981,59,
767,Wimbledon,Merton,,25442,253,17142,52,10629,59,24227,253,17454,52,10831,59,
768,Wimbledon Park,Merton,,3293,253,2293,52,1378,59,2532,253,1572,52,1102,59,
770,Wood Green,Haringey,,20281,253,18092,52,12443,59,18982,253,16840,52,11950,59,
599,Wood Lane,Hammersmith and Fulham,,5457,253,5186,52,1893,59,6077,253,4333,52,2943,59,
769,Woodford,Redbridge,,9637,253,6998,52,4270,59,9481,253,6445,52,4174,59,
771,Woodside Park,Barnet,,4795,253,2799,52,1717,59,4327,253,2877,52,1906,59,
